timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,heat_index,approx_altitude,absolute_humidity
2023-10-25 10:45:20:997,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006.01,20.98,62.91,25,60.47,0.11
2023-10-25 10:45:21:246,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.99,20.98,62.92,25,60.63,0.11
2023-10-25 10:45:21:497,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.96,NaN,62.91,25,60.85,NaN
2023-10-25 10:45:21:747,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.03,20.98,62.91,25,60.27,0.11
2023-10-25 10:45:21:998,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.95,21,62.89,25,60.92,0.11
2023-10-25 10:45:22:249,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.04,20.98,62.9,25,60.18,0.11
2023-10-25 10:45:22:500,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,20.98,NaN,25,60.67,NaN
2023-10-25 10:45:22:750,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.94,21,62.87,25,61.07,0.11
2023-10-25 10:45:22:999,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,20.98,62.89,25,60.75,0.11
2023-10-25 10:45:23:249,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.97,21.01,62.86,25,60.77,0.11
2023-10-25 10:45:23:499,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.97,21,62.84,25,60.83,0.11
2023-10-25 10:45:23:876,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.94,21,62.84,25,61.05,0.11
2023-10-25 10:45:24:126,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,21.01,62.85,25,60.67,0.11
2023-10-25 10:45:24:376,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006.03,21.01,62.83,25,60.27,0.11
2023-10-25 10:45:24:626,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.07,20.98,62.87,25,59.98,0.11
2023-10-25 10:45:24:876,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.93,21.01,62.83,25,61.11,0.11
2023-10-25 10:45:25:126,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.99,21.01,62.83,25,60.62,0.11
2023-10-25 10:45:25:376,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.95,21.01,62.84,25,60.94,0.11
2023-10-25 10:45:25:627,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.96,21.02,62.84,25,60.86,0.11
2023-10-25 10:45:25:878,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006,21.01,62.82,25,60.53,0.11
2023-10-25 10:45:26:128,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.98,21,62.82,25,60.74,0.11
2023-10-25 10:45:26:378,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006,NaN,62.84,25,60.56,NaN
2023-10-25 10:45:26:754,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.94,21.02,NaN,25,61.06,NaN
2023-10-25 10:45:27:5,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.98,20.98,62.79,25,60.71,0.11
2023-10-25 10:45:27:255,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,20.98,62.79,25,60.68,0.11
2023-10-25 10:45:27:506,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.97,NaN,NaN,25,60.81,NaN
